angular_velocity_x,angular_velocity_y,angular_velocity_z,battery_current,battery_voltage,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,motor_0_current,motor_0_force,motor_0_omega,motor_0_torque,motor_1_current,motor_1_force,motor_1_omega,motor_1_torque,motor_2_current,motor_2_force,motor_2_omega,motor_2_torque,motor_3_current,motor_3_force,motor_3_omega,motor_3_torque,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,timestamp,velocity_x,velocity_y,velocity_z
0,0,0,0,16.8,0,0,0,0,0,0,0,0.0045125,0,0,0,0.0045125,0,0,0,0.0045125,0,0,0,0.0045125,1,0,0,0,0,0,0,0,0,0,0
0,6.308e-06,0,14.6933,16.7265,0.259086,0.259086,0.261731,0.261731,2.29413,2.36438e-05,28.5611,0.00407275,2.29413,2.36438e-05,28.5611,0.00407232,2.30574,2.42746e-05,28.95,0.00407275,2.30574,2.42746e-05,28.95,0.00407231,1,0,3.9425e-09,0,0,0,0,0.0025,0,0,0
0,5.05599e-05,0,19.2078,16.7039,0.53009,0.53009,0.535484,0.535484,2.87032,0.000243477,73.4736,0.00367777,2.87032,0.000243477,73.4736,0.00367315,2.88512,0.000249525,74.3398,0.00367783,2.88512,0.000249525,74.3398,0.00367309,1,0,3.94849e-08,0,0,0,0,0.005,0,0,0
0,0.000178422,0,20.4314,16.6977,0.805266,0.805266,0.813431,0.813431,3.02631,0.00103416,122.616,0.00332712,3.02631,0.00103416,122.616,0.00330709,3.04213,0.00105827,123.981,0.00332735,3.04213,0.00105827,123.981,0.00330685,1,0,1.82599e-07,0,0,0,0,0.0075,0,0,0
0,0.0004346,0,20.8173,16.6958,1.08156,1.08156,1.0925,1.0925,3.07891,0.00277755,172.815,0.00302097,3.07891,0.00277755,172.815,0.0029664,3.09529,0.0028399,174.685,0.00302159,3.09529,0.0028399,174.685,0.00296578,1,0,5.65738e-07,0,0,0,0,0.01,0,0,0
0,0.000860909,0,21.0078,16.6948,1.35811,1.35811,1.37183,1.37183,3.11019,0.00579687,223.238,0.0027594,3.11019,0.00579687,223.238,0.0026442,3.12714,0.00592399,225.613,0.00276067,3.12714,0.00592399,225.613,0.00264294,1,0,1.37543e-06,0,0,0,0,0.0125,0,0,0
0,0.00149691,0,21.1706,16.6939,1.63468,1.63468,1.65118,1.65118,3.14154,0.0103605,273.663,0.0025423,3.14154,0.0103605,273.663,0.00233445,3.15916,0.0105841,276.542,0.00254455,3.15916,0.0105841,276.542,0.0023322,1,0,2.84907e-06,0,0,0,0,0.015,0,0,0
0,0.00238074,0,21.3489,16.693,1.91119,1.91119,1.93047,1.93047,3.17847,0.016695,324.032,0.00236946,3.17847,0.016695,324.032,0.00203181,3.1969,0.0170513,327.413,0.00237306,3.1969,0.0170513,327.413,0.0020282,1,0,5.2726e-06,0,0,0,0,0.0175,0,0,0
0,0.00354948,0,21.554,16.6919,2.18762,2.18762,2.20967,2.20967,3.22234,0.0249944,374.329,0.00224058,3.22234,0.0249944,374.329,0.00173157,3.24173,0.0255231,378.21,0.00224597,3.24173,0.0255231,378.21,0.00172618,1,0,8.97899e-06,0,0,0,0,0.02,0,0,0
0,0.00503927,0,21.7883,16.6907,2.46396,2.46396,2.48878,2.48878,3.27342,0.0354243,424.549,0.00215532,3.27342,0.0354243,424.549,0.00142954,3.29392,0.0361687,428.929,0.00216295,3.29392,0.0361687,428.929,0.00142191,1,0,1.4347e-05,0,0,0,0,0.0225,0,0,0
0,0.00688541,0,22.0521,16.6893,2.74019,2.74019,2.76779,2.76779,3.33169,0.0481267,474.691,0.00211332,3.33169,0.0481267,474.691,0.00112202,3.35345,0.0491326,479.569,0.00212368,3.35345,0.0491326,479.569,0.00111165,1,0,2.17999e-05,0,0,0,0,0.025,0,0,0
0,0.00912251,0,22.3454,16.6878,3.01632,3.01632,3.04669,3.04669,3.39708,0.063223,524.754,0.00211417,3.39708,0.063223,524.754,0.000805717,3.42023,0.0645385,530.129,0.00212779,3.42023,0.0645385,530.129,0.000792096,1,0,3.18048e-05,0,0,0,0,0.0275,0,0,0
0,0.0117846,0,22.6676,16.6862,3.29233,3.29233,3.32547,3.32547,3.46949,0.0808174,574.739,0.00215748,3.46949,0.0808174,574.739,0.000477718,3.49418,0.0824925,580.609,0.0021749,3.49418,0.0824925,580.609,0.000460299,1,0,4.48718e-05,0,0,0,0,0.03,0,0,0
0,0.0149052,0,23.0184,16.6844,3.56822,3.56822,3.60413,3.60413,3.54885,0.101,624.644,0.00224284,3.54885,0.101,624.644,0.000135433,3.57521,0.103086,631.007,0.00226462,3.57521,0.103086,631.007,0.000113652,1,0,6.15529e-05,0,0,0,0,0.0325,0,0,0
0,0.0185176,0,23.3976,16.6824,3.84398,3.84398,3.88266,3.88266,3.63507,0.123848,674.469,0.00236982,3.63507,0.123848,674.469,-0.000223432,3.66324,0.126399,681.324,0.00239654,3.66324,0.126399,681.324,-0.000250156,1,0,8.24422e-05,0,0,0,0,0.035,0,0,0
0,0.0226544,0,23.8049,16.6803,4.11961,4.11961,4.16105,4.16105,3.72809,0.149428,724.213,0.00253802,3.72809,0.149428,724.213,-0.000600908,3.7582,0.152499,731.559,0.00257029,3.7582,0.152499,731.559,-0.000633173,1,0,0.000108175,0,0,0,0,0.0375,0,0,0
0,0.0273481,0,24.24,16.6781,4.39509,4.39509,4.4393,4.4393,3.82783,0.177798,773.876,0.00274704,3.82783,0.177798,773.876,-0.000998794,3.86003,0.181443,781.711,0.00278545,3.86003,0.181443,781.711,-0.00103721,1,0,0.000139426,0,0,0,0,0.04,0,0,0
0,0.0326306,0,24.7026,16.6757,4.67043,4.67043,4.7174,4.7174,3.93424,0.209005,823.457,0.00299647,3.93424,0.209005,823.457,-0.00141868,3.96865,0.213281,831.78,0.00304166,3.96865,0.213281,831.78,-0.00146386,1,0,0.000176913,0,0,0,0,0.0425,0,0,0
0,0.0385336,0,25.1925,16.6732,4.94562,4.94562,4.99534,4.99534,4.04726,0.24309,872.955,0.00328593,4.04726,0.24309,872.955,-0.00186197,4.08402,0.248053,881.765,0.00333851,4.08402,0.248053,881.765,-0.00191455,1,0,0.00022139,0,0,0,0,0.045,0,0,0
0,0.0450883,0,25.7095,16.6706,5.22064,5.22064,5.27313,5.27313,4.16684,0.280085,922.37,0.00361502,4.16684,0.280085,922.37,-0.0023299,4.20607,0.285794,931.665,0.00367563,4.20607,0.285794,931.665,-0.00239051,1,0,0.000273654,0,0,0,0,0.0475,0,0,0
0,0.0523256,0,26.2535,16.6678,5.4955,5.4955,5.55074,5.55074,4.29291,0.320018,971.701,0.00398337,4.29291,0.320018,971.701,-0.00282355,4.33475,0.32653,981.48,0.00405266,4.33475,0.32653,981.48,-0.00289284,1,0,0.000334538,0,0,0,0,0.05,0,0,0
0,0.060276,0,26.8241,16.6649,5.77019,5.77019,5.82819,5.82819,4.42544,0.362909,1020.95,0.00439062,4.42544,0.362909,1020.95,-0.00334388,4.47001,0.370283,1031.21,0.00446923,4.47001,0.370283,1031.21,-0.00342249,1,0,0.000404914,0,0,0,0,0.0525,0,0,0
0,0.0689697,0,27.4213,16.6619,6.0447,6.0447,6.10545,6.10545,4.56438,0.408775,1070.11,0.0048364,4.56438,0.408775,1070.11,-0.00389172,4.61181,0.41707,1080.85,0.00492498,4.61181,0.41707,1080.85,-0.0039803,1,0,0.000485693,0,0,0,0,0.055,0,0,0
0,0.0784365,0,28.0448,16.6587,6.31903,6.31903,6.38252,6.38252,4.70968,0.457629,1119.18,0.00532037,4.70968,0.457629,1119.18,-0.00446779,4.76009,0.466901,1130.4,0.00541957,4.76009,0.466901,1130.4,-0.004567,1,0,0.000577821,0,0,0,0,0.0575,0,0,0
0,0.0887059,0,28.6946,16.6554,6.59316,6.59316,6.6594,6.6594,4.86129,0.509477,1168.17,0.00584218,4.86129,0.509477,1168.17,-0.00507273,4.91481,0.519787,1179.87,0.00595266,4.91481,0.519787,1179.87,-0.00518321,1,0,0.000682285,0,0,0,0,0.06,0,0,0
0,0.0998071,0,29.3704,16.6519,6.8671,6.8671,6.93609,6.93609,5.01918,0.564325,1217.07,0.0064015,5.01918,0.564325,1217.07,-0.00570707,5.07593,0.575731,1229.24,0.00652391,5.07593,0.575731,1229.24,-0.00582948,1,0,0.000800106,0,0,0,0,0.0625,0,0,0
0,0.111769,0,30.0721,16.6484,7.14083,7.14083,7.21257,7.21257,5.1833,0.622175,1265.88,0.00699801,5.1833,0.622175,1265.88,-0.00637128,5.24341,0.634736,1278.53,0.007133,5.24341,0.634736,1278.53,-0.00650628,1,0,0.000932341,0,0,0,0,0.065,0,0,0
0,0.12462,0,30.7995,16.6447,7.41436,7.41436,7.48883,7.48883,5.35361,0.683026,1314.6,0.00763138,5.35361,0.683026,1314.6,-0.00706576,5.41721,0.696799,1327.73,0.00777961,5.41721,0.696799,1327.73,-0.00721399,0.999999,0,0.00108008,0,0,0,0,0.0675,0,0,0
0,0.138389,0,31.5526,16.6408,7.68767,7.68767,7.76488,7.76488,5.53008,0.746874,1363.23,0.00830131,5.53008,0.746874,1363.23,-0.00779084,5.59728,0.761919,1376.83,0.00846343,5.59728,0.761919,1376.83,-0.00795296,0.999999,0,0.00124447,0,0,0,0,0.07,0,0,0
0,0.153104,0,32.3311,16.6369,7.96076,7.96076,8.04071,8.04071,5.71267,0.813715,1411.78,0.00900749,5.71267,0.813715,1411.78,-0.00854679,5.78359,0.830089,1425.84,0.00918416,5.78359,0.830089,1425.84,-0.00872346,0.999999,0,0.00142665,0,8.37353e-08,0,1.45911e-06,0.0725,6.52176e-05,0,0.00116748
-4.4409e-16,0.168791,9.75782e-18,33.1345,16.6328,8.23363,8.23363,8.31631,8.31631,5.90118,0.883525,1460.23,0.0097495,5.90118,0.883525,1460.23,-0.00933372,5.97594,0.901286,1474.76,0.00994136,5.97594,0.901286,1474.76,-0.00952558,0.999999,-2.77547e-19,0.00162783,6.51231e-21,3.57369e-07,3.17049e-24,7.98941e-06,0.075,0.000138988,2.81876e-21,0.00405742
6.6613e-16,0.185477,1.19262e-17,33.9621,16.6286,8.50626,8.50626,8.59167,8.59167,6.09544,0.956271,1508.59,0.0105269,6.09544,0.956271,1508.59,-0.0101516,6.17417,0.975476,1523.59,0.0107346,6.17417,0.975476,1523.59,-0.0103593,0.999998,-1.38752e-19,0.00184925,1.97267e-20,8.61882e-07,4.11651e-23,2.39544e-05,0.0775,0.000221334,2.15451e-20,0.00871589
7.21638e-16,0.203187,7.58942e-18,34.8135,16.6242,8.77867,8.77867,8.8668,8.8668,6.29537,1.03192,1556.86,0.0113392,6.29537,1.03192,1556.86,-0.0110005,6.37817,1.05262,1572.33,0.0115634,6.37817,1.05262,1572.33,-0.0112247,0.999998,7.28619e-19,0.00209217,3.02867e-20,1.64524e-06,8.98965e-23,5.38315e-05,0.08,0.000312076,2.81614e-20,0.0151881
9.9919e-16,0.221947,1.51788e-17,35.6884,16.6198,9.05083,9.05083,9.14169,9.14169,6.50088,1.11043,1605.04,0.0121859,6.50088,1.11043,1605.04,-0.0118803,6.58787,1.1327,1620.97,0.0124272,6.58787,1.1327,1620.97,-0.0121216,0.999997,1.80416e-18,0.00235787,4.24491e-20,2.76326e-06,1.81099e-23,0.00010221,0.0825,0.000410799,9.56031e-21,0.0235184
6.66118e-16,0.241782,1.30104e-17,36.5865,16.6152,9.32276,9.32276,9.41634,9.41634,6.7119,1.19178,1653.13,0.0130667,6.7119,1.19178,1653.13,-0.0127909,6.8032,1.21565,1669.53,0.0133257,6.8032,1.21565,1669.53,-0.0130499,0.999996,2.845e-18,0.0026477,5.81605e-20,4.2806e-06,-3.5995e-22,0.000173789,0.085,0.000516819,-4.72879e-20,0.0337503
-4.44109e-16,0.262716,9.75782e-18,37.5075,16.6105,9.59443,9.59443,9.69073,9.69073,6.92837,1.27591,1701.13,0.013981,6.92837,1.27591,1701.13,-0.0137321,7.02409,1.30145,1717.99,0.0142584,7.02409,1.30145,1717.99,-0.0140095,0.999996,2.98377e-18,0.00296301,7.29939e-20,6.2718e-06,-1.23394e-21,0.000273375,0.0875,0.000629138,-1.87697e-19,0.0459261
-2.22068e-16,0.284773,8.67362e-18,38.4512,16.6057,9.86585,9.86585,9.96487,9.96487,7.15021,1.36279,1749.05,0.0149284,7.15021,1.36279,1749.05,-0.0147038,7.25047,1.39005,1766.37,0.0152248,7.25047,1.39005,1766.37,-0.0150002,0.999995,2.56742e-18,0.00330519,8.67504e-20,8.82239e-06,-2.66092e-21,0.000405878,0.09,0.000746412,-3.66218e-19,0.0600873
-8.88207e-16,0.307978,1.30104e-17,39.4174,16.6008,10.137,10.137,10.2387,10.2387,7.37735,1.45238,1796.87,0.0159085,7.37735,1.45238,1796.87,-0.0157057,7.48226,1.48141,1814.64,0.0162245,7.48226,1.48141,1814.64,-0.0160217,0.999993,1.87352e-18,0.00367566,1.03596e-19,1.20301e-05,-4.59216e-21,0.000576312,0.0925,0.000866902,-5.75444e-19,0.0762746
-5.55146e-16,0.332352,1.40946e-17,40.4057,16.5958,10.4079,10.4079,10.5124,10.5124,7.60973,1.54463,1844.6,0.0169208,7.60973,1.54463,1844.6,-0.0167378,7.71939,1.57549,1862.83,0.017257,7.71939,1.57549,1862.83,-0.017074,0.999992,9.71451e-19,0.00407586,1.24569e-19,1.60061e-05,-6.90909e-21,0.00078979,0.095,0.000988433,-7.9638e-19,0.0945273
3.33026e-16,0.35792,1.0842e-17,41.4159,16.5906,10.6786,10.6786,10.7857,10.7857,7.84727,1.63949,1892.23,0.0179648,7.84727,1.63949,1892.23,-0.0177997,7.9618,1.67223,1910.92,0.0183218,7.9618,1.67223,1910.92,-0.0181567,0.99999,8.32635e-19,0.00450728,1.41059e-19,2.08767e-05,-9.45167e-21,0.00105152,0.0975,0.00110835,-8.61453e-19,0.114884
3.33019e-16,0.384702,1.30104e-17,42.4478,16.5854,10.9489,10.9489,11.0588,11.0588,8.0899,1.73693,1939.78,0.0190401,8.0899,1.73693,1939.78,-0.0188911,8.20941,1.7716,1958.92,0.0194186,8.20941,1.7716,1958.92,-0.0192695,0.999988,1.24891e-18,0.00497141,1.54479e-19,2.67842e-05,-1.21965e-20,0.00136681,0.1,0.00122346,-8.07559e-19,0.137382
1.33221e-15,0.412723,1.95156e-17,43.5011,16.58,11.219,11.219,11.3316,11.3316,8.33754,1.83688,1987.23,0.0201463,8.33754,1.83688,1987.23,-0.0200118,8.46215,1.87353,2006.83,0.0205468,8.46215,1.87353,2006.83,-0.0204123,0.999985,2.28969e-18,0.0054698,1.70158e-19,3.3889e-05,-1.52552e-20,0.00174106,0.1025,0.00133001,-5.72548e-19,0.162057
2.21986e-16,0.442002,-1.73472e-17,44.5756,16.5745,11.4888,11.4888,11.6041,11.6041,8.59014,1.9393,2034.6,0.0212829,8.59014,1.9393,2034.6,-0.0211615,8.71995,1.97799,2054.65,0.021706,8.71995,1.97799,2054.65,-0.0215846,0.999982,3.26096e-18,0.00600399,1.67553e-19,4.23714e-05,-1.88905e-20,0.00217974,0.105,0.00142358,-3.79667e-19,0.188945
-1.55436e-15,0.47256,-1.30104e-17,45.6709,16.5689,11.7583,11.7583,11.8763,11.8763,8.84761,2.04414,2081.86,0.0224495,8.84761,2.04414,2081.86,-0.0223399,8.98273,2.08491,2102.37,0.0228957,8.98273,2.08491,2102.37,-0.0227861,0.999978,2.42803e-18,0.00657558,1.5565e-19,5.24326e-05,-2.33429e-20,0.00268843,0.1075,0.00149909,-8.7798e-19,0.218079
-1.99844e-15,0.50442,1.54074e-33,46.7869,16.5632,12.0276,12.0276,12.1482,12.1482,9.10988,2.15135,2129.04,0.0236455,9.10988,2.15135,2129.04,-0.0235466,9.25042,2.19424,2149.99,0.0241154,9.25042,2.19424,2149.99,-0.0240165,0.999974,2.07431e-19,0.00718618,1.63644e-19,6.42973e-05,-2.84252e-20,0.00327279,0.11,0.00155071,-1.98606e-18,0.249493
-3.55277e-15,0.5376,2.38524e-17,47.9233,16.5575,12.2965,12.2965,12.4199,12.4199,9.37688,2.26087,2176.13,0.0248705,9.37688,2.26087,2176.13,-0.0247813,9.52295,2.30593,2197.52,0.0253648,9.52295,2.30593,2197.52,-0.0252755,0.999969,-3.26198e-18,0.00783742,2.03806e-19,7.82154e-05,-3.35316e-20,0.00393855,0.1125,0.00157182,-3.77837e-18,0.283219
-2.44256e-15,0.57212,1.0842e-17,49.0798,16.5516,12.5652,12.5652,12.6912,12.6912,9.64854,2.37264,2223.12,0.0261241,9.64854,2.37264,2223.12,-0.0260436,9.80025,2.41993,2244.96,0.0266432,9.80025,2.41993,2244.96,-0.0265627,0.999964,-7.00892e-18,0.00853097,2.52407e-19,9.44642e-05,-3.76537e-20,0.00469151,0.115,0.00155492,-5.77027e-18,0.319286
-2.10949e-15,0.606275,-8.67362e-18,49.7919,16.5479,12.8359,12.8359,12.9646,12.9646,9.80487,2.47176,2271.44,0.0273054,9.80487,2.47176,2271.44,-0.0272327,9.95895,2.52094,2293.76,0.0278474,9.95895,2.52094,2293.76,-0.0277747,0.999957,-9.85402e-18,0.00926744,2.72799e-19,0.000113298,-3.96752e-20,0.00553459,0.1175,0.00149412,-7.27196e-18,0.355334
